State,Deaths
Maharashtra,16792
Tamil Nadu,4571
Delhi,4059
Karnataka,2897
Andhra Pradesh,1753
Uttar Pradesh,1918
Gujarat,2579
West Bengal,1902
Telangana,589
Rajasthan,757
Bihar,388
Haryana,458
Assam,126
Madhya Pradesh,946
Odisha,280
Jammu and Kashmir,436
Kerala,98
Punjab,517
Jharkhand,145
Chhattisgarh,77
Uttarakhand,102
Goa,66
Tripura,31
Puducherry,70
Manipur,8
Himachal Pradesh,13
Ladakh,7
Nagaland,6
Arunachal Pradesh,3
Chandigarh,20
Dadra and Nagar Haveli and Daman and Diu,2
Meghalaya,5
Sikkim,1
Mizoram,0
Andaman and Nicobar Islands,16
Lakshadweep,0
